pdb,execution_time
pdb7twc_A_hinge_1_sigma0.8948929172439201.pdb,0.921302
pdb7twc_A_hinge_3_sigma0.8948929172439201.pdb,0.834421
pdb7twc_A_hinge_4_sigma0.8948929172439201.pdb,0.762126
pdb7twc_A_hinge_0_sigma0.8948929172439201.pdb,0.813256
pdb2mnz_A_hinge_0_sigma0.8948929172439201.pdb,0.007381
pdb2mnz_A_hinge_1_sigma0.8948929172439201.pdb,0.007762
pdb6nvf_A_hinge_2_sigma0.8948929172439201.pdb,0.228131
pdb6nvf_A_hinge_4_sigma0.8948929172439201.pdb,0.248538
pdb6nvf_A_hinge_5_sigma0.8948929172439201.pdb,0.285968
pdb6nvf_A_hinge_1_sigma0.8948929172439201.pdb,0.226693
pdb6nvf_A_hinge_0_sigma0.8948929172439201.pdb,0.253943
pdb6nvf_A_hinge_3_sigma0.8948929172439201.pdb,0.21653
pdb6zsk_A_hinge_0_sigma0.8948929172439201.pdb,0.081227
pdb6zsk_A_hinge_1_sigma0.8948929172439201.pdb,0.078464
pdb6zsk_A_hinge_4_sigma0.8948929172439201.pdb,0.082048
pdb6zsk_A_hinge_2_sigma0.8948929172439201.pdb,0.072891
pdb6zsk_A_hinge_5_sigma0.8948929172439201.pdb,0.082089
pdb6zsk_A_hinge_3_sigma0.8948929172439201.pdb,0.071523
pdb6v3u_A_hinge_2_sigma0.8948929172439201.pdb,0.18192
pdb6v3u_A_hinge_1_sigma0.8948929172439201.pdb,0.106457
pdb6v3u_A_hinge_5_sigma0.8948929172439201.pdb,0.112768
pdb6v3u_A_hinge_3_sigma0.8948929172439201.pdb,0.107235
pdb6v3u_A_hinge_4_sigma0.8948929172439201.pdb,0.151405
pdb6v3u_A_hinge_0_sigma0.8948929172439201.pdb,0.109127
pdb7zb1_A_hinge_1_sigma0.8948929172439201.pdb,2.375241
pdb7zb1_A_hinge_2_sigma0.8948929172439201.pdb,2.506114
pdb7zb1_A_hinge_4_sigma0.8948929172439201.pdb,2.376438
pdb7zb1_A_hinge_0_sigma0.8948929172439201.pdb,2.546072
