pdb_pair,execution_time
pdb5vyr_A_original_pdb5vyr_A_hinge_3_sigma0.8948929172439201.command,0.00958600082
pdb6cf8_A_original_pdb6cf8_A_hinge_1_sigma0.8948929172439201.command,0.0468369983
pdb8d8s_A_original_pdb8d8s_A_hinge_3_sigma0.8948929172439201.command,0.0129330009
pdb3zkm_A_original_pdb3zkm_A_hinge_5_sigma0.8948929172439201.command,0.0203960016
pdb5rdl_A_original_pdb5rdl_A_hinge_1_sigma0.8948929172439201.command,0.0224109981
pdb8cnf_A_original_pdb8cnf_A_hinge_3_sigma0.8948929172439201.command,0.18831944465637207
pdb5ot8_A_original_pdb5ot8_A_hinge_5_sigma0.8948929172439201.command,0.0110859983
pdb2kkl_A_original_pdb2kkl_A_hinge_2_sigma0.8948929172439201.command,0.0104389992
pdb3jz9_A_original_pdb3jz9_A_hinge_5_sigma0.8948929172439201.command,0.00716199912
pdb4jth_A_original_pdb4jth_A_hinge_0_sigma0.8948929172439201.command,0.18131017684936523
pdb4al4_A_original_pdb4al4_A_hinge_4_sigma0.8948929172439201.command,0.0170300007
pdb7sjb_A_original_pdb7sjb_A_hinge_4_sigma0.8948929172439201.command,0.00668399967
pdb6l7d_A_original_pdb6l7d_A_hinge_2_sigma0.8948929172439201.command,0.015848998
pdb8biz_E_original_pdb8biz_E_hinge_3_sigma0.8948929172439201.command,0.0118770003
pdb2lok_A_original_pdb2lok_A_hinge_3_sigma0.8948929172439201.command,0.0121599995
pdb6t4j_A_original_pdb6t4j_A_hinge_5_sigma0.8948929172439201.command,0.0138639994
pdb4oa8_A_original_pdb4oa8_A_hinge_2_sigma0.8948929172439201.command,0.0102819987
pdb4mso_A_original_pdb4mso_A_hinge_2_sigma0.8948929172439201.command,0.0290860012
pdb3f3r_A_original_pdb3f3r_A_hinge_2_sigma0.8948929172439201.command,0.00402100012
pdb6t0q_A_original_pdb6t0q_A_hinge_4_sigma0.8948929172439201.command,0.00898399949
pdb4g2f_A_original_pdb4g2f_A_hinge_1_sigma0.8948929172439201.command,0.0105269998
pdb6zsk_A_original_pdb6zsk_A_hinge_5_sigma0.8948929172439201.command,0.003721999
pdb5oqe_A_original_pdb5oqe_A_hinge_5_sigma0.8948929172439201.command,0.0100830011
pdb7tpv_A_original_pdb7tpv_A_hinge_5_sigma0.8948929172439201.command,0.00856399909
pdb1b4m_A_original_pdb1b4m_A_hinge_1_sigma0.8948929172439201.command,0.00994900055
pdb5qit_A_original_pdb5qit_A_hinge_3_sigma0.8948929172439201.command,0.0088410005
pdb4mp4_A_original_pdb4mp4_A_hinge_0_sigma0.8948929172439201.command,0.1897900104522705
pdb6csw_A_original_pdb6csw_A_hinge_4_sigma0.8948929172439201.command,0.0102280006
pdb5c10_A_original_pdb5c10_A_hinge_5_sigma0.8948929172439201.command,0.13353180885314941
pdb7nzu_A_original_pdb7nzu_A_hinge_3_sigma0.8948929172439201.command,0.00600999966
pdb7z42_A_original_pdb7z42_A_hinge_2_sigma0.8948929172439201.command,0.0294220038
pdb6nt1_A_original_pdb6nt1_A_hinge_3_sigma0.8948929172439201.command,0.0205939971
pdb5ot5_A_original_pdb5ot5_A_hinge_0_sigma0.8948929172439201.command,0.2257075309753418
pdb5nin_B_original_pdb5nin_B_hinge_2_sigma0.8948929172439201.command,0.00950999931
pdb2hit_L_original_pdb2hit_L_hinge_2_sigma0.8948929172439201.command,0.0112959985
pdb7c35_A_original_pdb7c35_A_hinge_5_sigma0.8948929172439201.command,0.025711
pdb5quc_A_original_pdb5quc_A_hinge_0_sigma0.8948929172439201.command,0.2078533172607422
pdb7bab_A_original_pdb7bab_A_hinge_2_sigma0.8948929172439201.command,0.00955400243
pdb2jj7_A_original_pdb2jj7_A_hinge_2_sigma0.8948929172439201.command,0.00754600018
pdb4tx8_A_original_pdb4tx8_A_hinge_5_sigma0.8948929172439201.command,0.0157260001
pdb5q5s_A_original_pdb5q5s_A_hinge_1_sigma0.8948929172439201.command,0.0448080041
pdb7z57_A_original_pdb7z57_A_hinge_4_sigma0.8948929172439201.command,0.0237839967
pdb4dzi_A_original_pdb4dzi_A_hinge_3_sigma0.8948929172439201.command,0.00901599973
pdb5cei_A_original_pdb5cei_A_hinge_1_sigma0.8948929172439201.command,0.0219720006
pdb5b70_A_original_pdb5b70_A_hinge_4_sigma0.8948929172439201.command,0.00517000072
pdb1iie_A_original_pdb1iie_A_hinge_2_sigma0.8948929172439201.command,0.00537399948
pdb3rnj_A_original_pdb3rnj_A_hinge_2_sigma0.8948929172439201.command,0.00294199865
pdb8fgs_A_original_pdb8fgs_A_hinge_0_sigma0.8948929172439201.command,0.2587308883666992
pdb7b82_A_original_pdb7b82_A_hinge_3_sigma0.8948929172439201.command,0.1289381980895996
pdb5zn2_A_original_pdb5zn2_A_hinge_4_sigma0.8948929172439201.command,0.00975999981
pdb3m2d_A_original_pdb3m2d_A_hinge_5_sigma0.8948929172439201.command,0.00756900012
pdb4n2b_A_original_pdb4n2b_A_hinge_0_sigma0.8948929172439201.command,0.2890133857727051
pdb4c2w_A_original_pdb4c2w_A_hinge_1_sigma0.8948929172439201.command,0.0204570014
pdb4e4a_A_original_pdb4e4a_A_hinge_1_sigma0.8948929172439201.command,0.00950499997
pdb1p4w_A_original_pdb1p4w_A_hinge_3_sigma0.8948929172439201.command,0.00600999966
pdb3s7t_A_original_pdb3s7t_A_hinge_5_sigma0.8948929172439201.command,0.00586100109
pdb6mss_A_original_pdb6mss_A_hinge_0_sigma0.8948929172439201.command,0.13002300262451172
pdb6z2o_A_original_pdb6z2o_A_hinge_3_sigma0.8948929172439201.command,0.0166269988
pdb7foh_A_original_pdb7foh_A_hinge_4_sigma0.8948929172439201.command,0.1704423427581787
pdb5ot5_A_original_pdb5ot5_A_hinge_4_sigma0.8948929172439201.command,0.008681003
pdb2o9b_A_original_pdb2o9b_A_hinge_4_sigma0.8948929172439201.command,0.011429999
pdb3a96_A_original_pdb3a96_A_hinge_1_sigma0.8948929172439201.command,0.00711799972
pdb5f1k_A_original_pdb5f1k_A_hinge_3_sigma0.8948929172439201.command,0.00952300057
pdb5cmm_A_original_pdb5cmm_A_hinge_4_sigma0.8948929172439201.command,0.16981244087219238
pdb4fp3_A_original_pdb4fp3_A_hinge_4_sigma0.8948929172439201.command,0.0147329979
pdb4kv7_A_original_pdb4kv7_A_hinge_0_sigma0.8948929172439201.command,0.21516203880310059
pdb4l3n_A_original_pdb4l3n_A_hinge_1_sigma0.8948929172439201.command,0.0103699975
pdb4tqf_A_original_pdb4tqf_A_hinge_1_sigma0.8948929172439201.command,0.0269009992
pdb8fqq_A_original_pdb8fqq_A_hinge_3_sigma0.8948929172439201.command,0.00764600188
pdb1wfm_A_original_pdb1wfm_A_hinge_5_sigma0.8948929172439201.command,0.00905700214
pdb6g92_A_original_pdb6g92_A_hinge_2_sigma0.8948929172439201.command,0.0236940011
pdb4wqm_A_original_pdb4wqm_A_hinge_1_sigma0.8948929172439201.command,0.1560673713684082
pdb5vmx_A_original_pdb5vmx_A_hinge_2_sigma0.8948929172439201.command,0.00565899909
pdb1w8h_A_original_pdb1w8h_A_hinge_1_sigma0.8948929172439201.command,0.00454500038
pdb6s67_A_original_pdb6s67_A_hinge_0_sigma0.8948929172439201.command,0.12561726570129395
pdb3u79_A_original_pdb3u79_A_hinge_3_sigma0.8948929172439201.command,0.1348862648010254
pdb7cpq_A_original_pdb7cpq_A_hinge_3_sigma0.8948929172439201.command,0.0237569995
pdb4d1p_A_original_pdb4d1p_A_hinge_5_sigma0.8948929172439201.command,0.0315290019
pdb4uqo_A_original_pdb4uqo_A_hinge_4_sigma0.8948929172439201.command,0.00757800043
pdb7a21_A_original_pdb7a21_A_hinge_4_sigma0.8948929172439201.command,0.0117289983
pdb7a41_A_original_pdb7a41_A_hinge_5_sigma0.8948929172439201.command,0.0202200003
pdb5a8o_A_original_pdb5a8o_A_hinge_1_sigma0.8948929172439201.command,0.0199460015
pdb4p9w_A_original_pdb4p9w_A_hinge_5_sigma0.8948929172439201.command,0.00974100083
pdb5tms_A_original_pdb5tms_A_hinge_4_sigma0.8948929172439201.command,0.00710100122
pdb5uk6_A_original_pdb5uk6_A_hinge_2_sigma0.8948929172439201.command,0.0180970021
pdb3bfm_A_original_pdb3bfm_A_hinge_3_sigma0.8948929172439201.command,0.00739699975
pdb3fi2_A_original_pdb3fi2_A_hinge_0_sigma0.8948929172439201.command,0.1473984718322754
pdb8em5_A_original_pdb8em5_A_hinge_0_sigma0.8948929172439201.command,0.1275343894958496
pdb5q1l_A_original_pdb5q1l_A_hinge_3_sigma0.8948929172439201.command,0.0130759999
pdb4rtf_D_original_pdb4rtf_D_hinge_5_sigma0.8948929172439201.command,0.0142300017
pdb6uhw_A_original_pdb6uhw_A_hinge_2_sigma0.8948929172439201.command,0.00918700173
pdb5qir_A_original_pdb5qir_A_hinge_3_sigma0.8948929172439201.command,0.00928999856
pdb4nga_H_original_pdb4nga_H_hinge_4_sigma0.8948929172439201.command,0.00655800104
pdb4dqj_A_original_pdb4dqj_A_hinge_1_sigma0.8948929172439201.command,0.00533099845
pdb3a35_A_original_pdb3a35_A_hinge_3_sigma0.8948929172439201.command,0.00736299902
pdb4fgx_A_original_pdb4fgx_A_hinge_2_sigma0.8948929172439201.command,0.11725378036499023
pdb5lgq_A_original_pdb5lgq_A_hinge_3_sigma0.8948929172439201.command,0.1772458553314209
pdb2i59_A_original_pdb2i59_A_hinge_0_sigma0.8948929172439201.command,0.15236997604370117
pdb2gyt_A_original_pdb2gyt_A_hinge_0_sigma0.8948929172439201.command,0.09003853797912598
pdb5kmw_A_original_pdb5kmw_A_hinge_1_sigma0.8948929172439201.command,0.0100649968
pdb5zcj_A_original_pdb5zcj_A_hinge_2_sigma0.8948929172439201.command,0.00929100066
pdb2m1u_A_original_pdb2m1u_A_hinge_1_sigma0.8948929172439201.command,0.00609000027
pdb4zcg_A_original_pdb4zcg_A_hinge_2_sigma0.8948929172439201.command,0.0134969987
pdb5n3e_A_original_pdb5n3e_A_hinge_1_sigma0.8948929172439201.command,0.17232894897460938
pdb5pk7_A_original_pdb5pk7_A_hinge_0_sigma0.8948929172439201.command,0.16995644569396973
pdb1e4d_A_original_pdb1e4d_A_hinge_0_sigma0.8948929172439201.command,0.16667604446411133
pdb1o3i_A_original_pdb1o3i_A_hinge_2_sigma0.8948929172439201.command,0.10628628730773926
pdb3nt9_A_original_pdb3nt9_A_hinge_3_sigma0.8948929172439201.command,0.00898300111
pdb2gq2_A_original_pdb2gq2_A_hinge_0_sigma0.8948929172439201.command,0.17973804473876953
pdb7a41_A_original_pdb7a41_A_hinge_0_sigma0.8948929172439201.command,0.16576361656188965
pdb5dgb_A_original_pdb5dgb_A_hinge_3_sigma0.8948929172439201.command,0.0267740041
pdb2kmv_A_original_pdb2kmv_A_hinge_1_sigma0.8948929172439201.command,0.0134430006
pdb3s7o_A_original_pdb3s7o_A_hinge_0_sigma0.8948929172439201.command,0.1780095100402832
pdb7xzf_A_original_pdb7xzf_A_hinge_2_sigma0.8948929172439201.command,0.0179510005
pdb4r9b_A_original_pdb4r9b_A_hinge_1_sigma0.8948929172439201.command,0.00604400039
pdb2akl_A_original_pdb2akl_A_hinge_3_sigma0.8948929172439201.command,0.00743300095
pdb7x89_A_original_pdb7x89_A_hinge_2_sigma0.8948929172439201.command,0.00550100021
pdb5u8u_A_original_pdb5u8u_A_hinge_4_sigma0.8948929172439201.command,0.18718624114990234
pdb3qnv_A_original_pdb3qnv_A_hinge_0_sigma0.8948929172439201.command,0.20279145240783691
pdb6omy_A_original_pdb6omy_A_hinge_5_sigma0.8948929172439201.command,0.00913799927
pdb6t0q_A_original_pdb6t0q_A_hinge_0_sigma0.8948929172439201.command,0.17617034912109375
pdb5zwa_A_original_pdb5zwa_A_hinge_4_sigma0.8948929172439201.command,0.00801900029
pdb5ymx_A_original_pdb5ymx_A_hinge_0_sigma0.8948929172439201.command,0.12926554679870605
pdb6rg7_A_original_pdb6rg7_A_hinge_1_sigma0.8948929172439201.command,0.0145180002
pdb6yea_A_original_pdb6yea_A_hinge_2_sigma0.8948929172439201.command,0.08379387855529785
pdb2go9_A_original_pdb2go9_A_hinge_5_sigma0.8948929172439201.command,0.00857200101
pdb7zsp_A_original_pdb7zsp_A_hinge_3_sigma0.8948929172439201.command,0.0157690011
pdb1m5b_A_original_pdb1m5b_A_hinge_5_sigma0.8948929172439201.command,0.00752900168
pdb4d5r_A_original_pdb4d5r_A_hinge_5_sigma0.8948929172439201.command,0.00629799999
pdb3e29_A_original_pdb3e29_A_hinge_0_sigma0.8948929172439201.command,0.13235855102539062
pdb4bn2_A_original_pdb4bn2_A_hinge_2_sigma0.8948929172439201.command,0.0120910034
pdb5ld0_A_original_pdb5ld0_A_hinge_2_sigma0.8948929172439201.command,0.0160370022
pdb3lof_A_original_pdb3lof_A_hinge_1_sigma0.8948929172439201.command,0.1266307830810547
pdb2ogf_A_original_pdb2ogf_A_hinge_4_sigma0.8948929172439201.command,0.00479399972
